IP:PORT, LOSS, DELAY
188.114.97.67:1070,0.00%,222 ms
162.159.192.213:1070,0.00%,224 ms
162.159.192.213:3854,0.00%,224 ms
162.159.192.24:3854,0.00%,224 ms
188.114.97.67:3854,0.00%,226 ms
188.114.97.19:3854,0.00%,226 ms
188.114.99.112:1070,0.00%,227 ms
188.114.96.148:3854,0.00%,227 ms
188.114.99.10:1070,0.00%,228 ms
188.114.96.173:1070,0.00%,228 ms
188.114.96.78:3854,0.00%,229 ms
188.114.96.164:1070,0.00%,229 ms
188.114.97.167:1070,0.00%,229 ms
162.159.192.113:1070,0.00%,230 ms
188.114.99.37:3854,0.00%,231 ms
188.114.99.112:3854,0.00%,231 ms
162.159.192.204:3854,0.00%,231 ms
188.114.97.47:1070,0.00%,231 ms
162.159.192.63:1070,0.00%,232 ms
188.114.96.125:1070,0.00%,234 ms
188.114.99.10:3854,0.00%,234 ms
188.114.99.175:3854,0.00%,235 ms
162.159.192.24:1070,0.00%,235 ms
188.114.99.37:1070,0.00%,235 ms
162.159.192.156:1070,0.00%,235 ms
188.114.96.146:1070,0.00%,236 ms
162.159.195.194:3854,0.00%,236 ms
162.159.195.97:3854,0.00%,236 ms
188.114.98.253:3854,0.00%,236 ms
188.114.99.71:1070,0.00%,236 ms
188.114.96.149:1070,0.00%,237 ms
188.114.98.239:1070,0.00%,237 ms
162.159.195.82:1070,0.00%,238 ms
188.114.98.137:3854,0.00%,238 ms
162.159.192.204:1070,0.00%,239 ms
162.159.192.28:1070,0.00%,239 ms
162.159.195.68:3854,0.00%,241 ms
188.114.99.134:1070,0.00%,247 ms
162.159.192.19:3854,0.00%,247 ms
188.114.97.140:1070,0.00%,247 ms
188.114.96.148:1070,0.00%,247 ms
188.114.97.169:3854,0.00%,248 ms
188.114.96.142:1070,0.00%,248 ms
162.159.195.82:3854,0.00%,249 ms
188.114.97.169:1070,0.00%,249 ms
188.114.97.26:3854,0.00%,249 ms
162.159.192.62:3854,0.00%,250 ms
188.114.99.216:3854,0.00%,251 ms
162.159.192.210:1070,0.00%,251 ms
188.114.97.225:1070,0.00%,251 ms
162.159.192.28:3854,0.00%,252 ms
188.114.97.47:3854,0.00%,252 ms
188.114.98.117:3854,0.00%,252 ms
188.114.99.175:1070,0.00%,252 ms
188.114.97.167:3854,0.00%,252 ms
188.114.98.239:3854,0.00%,253 ms
188.114.96.223:3854,0.00%,253 ms
188.114.99.216:1070,0.00%,253 ms
188.114.97.140:3854,0.00%,253 ms
188.114.96.206:3854,0.00%,254 ms
188.114.96.187:1070,0.00%,255 ms
162.159.195.225:3854,0.00%,255 ms
188.114.98.65:3854,0.00%,255 ms
188.114.98.147:1070,0.00%,255 ms
188.114.98.175:3854,0.00%,255 ms
188.114.99.71:3854,0.00%,256 ms
188.114.96.223:1070,0.00%,256 ms
188.114.96.206:1070,0.00%,256 ms
188.114.96.125:3854,0.00%,256 ms
188.114.99.89:3854,0.00%,256 ms
188.114.99.85:1070,0.00%,256 ms
188.114.96.142:3854,0.00%,256 ms
188.114.96.78:1070,0.00%,256 ms
188.114.96.18:1070,0.00%,256 ms
188.114.98.176:3854,0.00%,256 ms
188.114.96.154:3854,0.00%,256 ms
188.114.96.120:1070,0.00%,257 ms
188.114.99.253:1070,0.00%,257 ms
188.114.99.89:1070,0.00%,257 ms
188.114.99.246:1070,0.00%,257 ms
188.114.98.253:1070,0.00%,257 ms
188.114.96.120:3854,0.00%,258 ms
188.114.96.149:3854,0.00%,258 ms
188.114.96.173:3854,0.00%,258 ms
188.114.98.115:3854,0.00%,258 ms
188.114.98.137:1070,0.00%,258 ms
188.114.98.168:1070,0.00%,258 ms
162.159.195.224:3854,0.00%,259 ms
188.114.99.253:3854,0.00%,259 ms
188.114.96.164:3854,0.00%,259 ms
188.114.99.246:3854,0.00%,259 ms
188.114.98.65:1070,0.00%,260 ms
188.114.97.19:1070,0.00%,261 ms
188.114.98.147:3854,0.00%,261 ms
188.114.96.146:3854,0.00%,261 ms
188.114.97.123:1070,0.00%,263 ms
188.114.97.99:3854,0.00%,269 ms
188.114.97.227:3854,0.00%,269 ms
188.114.97.123:3854,0.00%,270 ms
188.114.96.187:3854,0.00%,271 ms
188.114.97.225:3854,0.00%,271 ms
188.114.97.227:1070,0.00%,271 ms
188.114.96.154:1070,0.00%,272 ms
188.114.97.26:1070,0.00%,272 ms
188.114.98.175:1070,0.00%,274 ms
188.114.98.25:1070,0.00%,274 ms
188.114.98.25:3854,0.00%,274 ms
188.114.97.99:1070,0.00%,275 ms
188.114.98.176:1070,0.00%,275 ms
188.114.98.168:3854,0.00%,276 ms
188.114.96.18:3854,0.00%,276 ms
188.114.98.117:1070,0.00%,277 ms
162.159.195.49:3854,0.00%,278 ms
188.114.98.115:1070,0.00%,278 ms
188.114.98.102:1070,0.00%,278 ms
188.114.98.102:3854,0.00%,278 ms
188.114.99.134:3854,0.00%,280 ms
188.114.99.85:3854,0.00%,280 ms
162.159.195.224:1070,10.00%,283 ms
162.159.192.88:1070,10.00%,283 ms
162.159.195.199:3854,10.00%,285 ms
162.159.195.176:1070,10.00%,286 ms
162.159.192.63:3854,10.00%,288 ms
162.159.195.132:3854,10.00%,289 ms
162.159.192.202:3854,10.00%,290 ms
162.159.192.202:1070,10.00%,290 ms
162.159.192.113:3854,10.00%,292 ms
162.159.195.132:1070,10.00%,292 ms
162.159.192.156:3854,10.00%,293 ms
162.159.195.162:3854,10.00%,295 ms
162.159.195.49:1070,10.00%,295 ms
162.159.195.162:1070,10.00%,295 ms
162.159.195.194:1070,10.00%,295 ms
162.159.195.97:1070,10.00%,297 ms
162.159.192.88:3854,10.00%,297 ms
162.159.195.186:1070,10.00%,299 ms
162.159.195.176:3854,10.00%,301 ms
162.159.195.199:1070,10.00%,303 ms
162.159.195.23:3854,10.00%,307 ms
162.159.192.210:3854,10.00%,311 ms
162.159.192.180:3854,10.00%,313 ms
162.159.192.62:1070,10.00%,314 ms
162.159.195.68:1070,10.00%,323 ms
162.159.192.180:1070,10.00%,329 ms
162.159.195.126:1070,10.00%,331 ms
162.159.195.225:1070,20.00%,339 ms
162.159.192.19:1070,20.00%,350 ms
162.159.192.132:3854,20.00%,353 ms
162.159.195.186:3854,20.00%,358 ms
162.159.195.23:1070,20.00%,378 ms
162.159.192.132:1070,20.00%,378 ms
162.159.195.126:3854,20.00%,381 ms
188.114.97.106:3854,100.00%,1000 ms
162.159.193.186:3854,100.00%,1000 ms
162.159.192.10:1070,100.00%,1000 ms
188.114.99.66:1070,100.00%,1000 ms
162.159.193.152:3854,100.00%,1000 ms
188.114.98.157:3854,100.00%,1000 ms
162.159.193.145:1070,100.00%,1000 ms
162.159.193.186:1070,100.00%,1000 ms
162.159.192.10:3854,100.00%,1000 ms
162.159.193.53:1070,100.00%,1000 ms
162.159.193.60:1070,100.00%,1000 ms
162.159.193.60:3854,100.00%,1000 ms
162.159.193.105:3854,100.00%,1000 ms
162.159.193.152:1070,100.00%,1000 ms
162.159.193.25:1070,100.00%,1000 ms
188.114.98.78:3854,100.00%,1000 ms
162.159.193.204:3854,100.00%,1000 ms
162.159.193.219:1070,100.00%,1000 ms
162.159.193.145:3854,100.00%,1000 ms
162.159.193.36:3854,100.00%,1000 ms
162.159.193.25:3854,100.00%,1000 ms
162.159.193.204:1070,100.00%,1000 ms
162.159.193.188:1070,100.00%,1000 ms
162.159.193.105:1070,100.00%,1000 ms
162.159.193.188:3854,100.00%,1000 ms
162.159.193.29:3854,100.00%,1000 ms
188.114.99.66:3854,100.00%,1000 ms
162.159.193.232:3854,100.00%,1000 ms
162.159.193.219:3854,100.00%,1000 ms
162.159.193.249:3854,100.00%,1000 ms
162.159.193.29:1070,100.00%,1000 ms
188.114.98.78:1070,100.00%,1000 ms
188.114.99.255:3854,100.00%,1000 ms
162.159.193.232:1070,100.00%,1000 ms
162.159.193.199:3854,100.00%,1000 ms
188.114.99.255:1070,100.00%,1000 ms
162.159.193.36:1070,100.00%,1000 ms
162.159.193.249:1070,100.00%,1000 ms
162.159.193.53:3854,100.00%,1000 ms
162.159.193.199:1070,100.00%,1000 ms
188.114.97.121:3854,100.00%,1000 ms
188.114.98.106:3854,100.00%,1000 ms
188.114.97.121:1070,100.00%,1000 ms
188.114.98.106:1070,100.00%,1000 ms
188.114.98.157:1070,100.00%,1000 ms
188.114.97.194:3854,100.00%,1000 ms
188.114.97.194:1070,100.00%,1000 ms
188.114.97.106:1070,100.00%,1000 ms
