IP:PORT, LOSS, DELAY
[2606:4700:d1::d35e:37e0:6533:669a]:8319,0.00%,189 ms
[2606:4700:d1::aff6:d7b4:abd8:605c]:8319,0.00%,191 ms
[2606:4700:d1::852d:4c00:b49c:0ad5]:903,0.00%,191 ms
[2606:4700:d1::fd57:5ed1:e7a9:8855]:8319,0.00%,192 ms
[2606:4700:d1::fbb2:5625:c51a:44c8]:8319,0.00%,194 ms
[2606:4700:d1::aff6:d7b4:abd8:605c]:903,0.00%,199 ms
[2606:4700:d1::fbb2:5625:c51a:44c8]:903,0.00%,200 ms
[2606:4700:d1::fc5e:95be:1f3c:3960]:8319,0.00%,203 ms
[2606:4700:d1::ae70:c19d:8196:24be]:8319,0.00%,205 ms
[2606:4700:d1::96d2:6ec0:0b52:dcc3]:8319,0.00%,207 ms
[2606:4700:d0::aeae:adf8:6c72:8f4e]:903,0.00%,210 ms
[2606:4700:d1::ae70:c19d:8196:24be]:903,0.00%,212 ms
[2606:4700:d1::c707:838a:2bef:0f25]:8319,0.00%,212 ms
[2606:4700:d1::944c:6535:9376:6f84]:8319,0.00%,212 ms
[2606:4700:d1::94d8:46ec:5451:0fe8]:8319,0.00%,214 ms
[2606:4700:d1::c707:838a:2bef:0f25]:903,0.00%,216 ms
[2606:4700:d1::94d8:46ec:5451:0fe8]:903,0.00%,216 ms
[2606:4700:d1::c42a:9b7e:a24c:ec47]:903,0.00%,221 ms
[2606:4700:d1::fd57:5ed1:e7a9:8855]:903,0.00%,222 ms
[2606:4700:d1::b118:0fc6:a39b:9fbc]:8319,0.00%,223 ms
[2606:4700:d1::c42a:9b7e:a24c:ec47]:8319,0.00%,224 ms
[2606:4700:d0::19e3:4265:4499:d9fa]:903,0.00%,230 ms
[2606:4700:d1::0ac0:85e4:29ff:7937]:903,0.00%,231 ms
[2606:4700:d1::852d:4c00:b49c:0ad5]:8319,0.00%,232 ms
[2606:4700:d1::aaf6:d315:07db:102c]:8319,0.00%,232 ms
[2606:4700:d1::eb7d:0591:f56c:9fa5]:903,0.00%,232 ms
[2606:4700:d1::fc5e:95be:1f3c:3960]:903,0.00%,234 ms
[2606:4700:d1::a239:ac96:df60:4d27]:903,0.00%,234 ms
[2606:4700:d1::d35e:37e0:6533:669a]:903,0.00%,235 ms
[2606:4700:d1::d831:75c5:d992:b3b4]:8319,0.00%,241 ms
[2606:4700:d1::aaf6:d315:07db:102c]:903,0.00%,244 ms
[2606:4700:d1::3a0f:eaa4:847b:4c92]:8319,0.00%,246 ms
[2606:4700:d0::f242:c3ea:e7f9:7ded]:903,0.00%,248 ms
[2606:4700:d1::bfbd:64d4:884b:4351]:8319,0.00%,249 ms
[2606:4700:d1::4790:6f45:13ee:9316]:903,0.00%,249 ms
[2606:4700:d1::0e4d:0ff7:624d:0ed6]:903,0.00%,250 ms
[2606:4700:d1::82e0:ce87:401f:26f6]:903,0.00%,250 ms
[2606:4700:d1::5f0d:a6d4:d520:adc8]:903,0.00%,250 ms
[2606:4700:d0::b01c:3675:ac74:2cff]:8319,0.00%,251 ms
[2606:4700:d1::5dcc:3df9:846f:506f]:903,0.00%,251 ms
[2606:4700:d1::4573:bd7b:3e2a:a212]:903,0.00%,252 ms
[2606:4700:d1::18f4:cf28:8194:e112]:8319,0.00%,252 ms
[2606:4700:d1::96d2:6ec0:0b52:dcc3]:903,0.00%,252 ms
[2606:4700:d1::c205:69fe:ea0b:0126]:8319,0.00%,252 ms
[2606:4700:d0::e912:64b1:eb99:cb6a]:8319,0.00%,253 ms
[2606:4700:d1::944c:6535:9376:6f84]:903,0.00%,253 ms
[2606:4700:d1::4790:6f45:13ee:9316]:8319,0.00%,253 ms
[2606:4700:d1::bcb7:d8e8:7377:2ee7]:8319,0.00%,254 ms
[2606:4700:d0::0ae7:b325:9373:9874]:8319,0.00%,255 ms
[2606:4700:d1::66ee:13ef:15cf:1ebc]:8319,0.00%,255 ms
[2606:4700:d0::5713:c549:f9b7:e893]:8319,0.00%,255 ms
